Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,employer_provided_salary,min_salary,max_salary,avg_salary,company_text,company_age,python_yn,R_yn,sql_yn,excel_yn
Data Scientist,Employer Provided Salary:₹5L - ₹17L,"Minimum 2 years in Machine Learning
Hands on experience Python scripting,NLP,ML
Hands on experience in building Machine Learning and Artificial Intelligence models
Good knowledge on Exploratory Data Analysis (EDA)
Certification on Machine Learning (an advantage)
Hands on experience on platforms - Microsoft Azure/Amazon Web Services
Libraries – Numpy, Pands, Scikit learn, Seaborn, Matplotlib, Plotly, TensorFLow, OpenCV, NLTK, Count Vectorization, Tf-idf
Good understanding of the below models
Machine Learning Algorithms - Linear Regression, Logistic Regression, Decision Tree Classifier, Random Forest Classifier, Nave Bayes, Support Vector Machine
Unsupervised/Clustering algorithms – KNN, DBSCAN, Hierarchical
NLP models – BERT, RNN, LSTM, GRU
Deep Learning models for image classification – VGG16, ImageNet, ResNet, YOLO, Fast CNN",-1.0,GWC Technologies,Bangalore,-1,-1,-1,-1,-1,-1,1,5 , 17,11.0,GWC Technologies,-1,1,1,0,0
Experimentation Data Scientist - Chase,₹8L - ₹18L (Glassdoor Est.),"Data Scientist and Analytics

JPMorgan Chase is a leading global financial services firm with assets of over $1.1 trillion and operations in more than 50 countries. The firm is a leader in Investment Banking, Financial Services for consumers and businesses, financial transaction processing, asset and wealth management, and private equity. Under the JPMorgan and Chase brands, the firm serves millions of consumers in the United States and many of the world's most prominent corporate, institutional and government clients. Further information about J.P. Morgan is available at http://www.jpmorgan.com/ .

Description

JPMorgan Chase is expanding consumer business beyond the U.S. borders for the first time, beginning with a digital-only retail bank in the U.K. We are looking for commercially minded, customer focused, hands on data scientists, who want to be a part of building digital-only retail bank.",3.8,"JPMorgan Chase Bank, N.A.
3.8",Bangalore,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),0,8 , 18 ,13.0,"JPMorgan Chase Bank, N.A.
",223,0,1,0,0
Intership for statistics / data science students - with stipend,₹6L - ₹10L (Glassdoor Est.),"The Datahut internship program provides students a hands-on experience working in the data industry. Datahut works on some of the challenging problems in the web data integration industry. We work with some of the largest companies on the planet, helping them get data for their operations. The marketing team at Datahut helps educate decision-makers at large enterprises through our content and creatives.

We're inviting students with an excellent understanding of statistics and data to work on some exciting data problems. If you have good pattern recognition skills and data analysis skills - you're most welcome.

We get a lot of applications, and we obviously need to filter people. Here is a test for you. You're given the pricing data of two brands, Adidas and Nike. The standard deviation of pricing for Adidas is ""x,"" and for Nike is ""3x"". How would you interpret the pricing data? Include your answer in the application as a cover letter. You're free to be as creative as you can.",4.6,"Datahut
4.6",Cochin,1 to 50 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,6 , 10 ,8.0,"Datahut
",7,0,1,0,1
Data Science cource with placement opportunity,Employer Provided Salary:₹6L - ₹12L,"RSUNSTAR EDUCATIONAL ACADEMY
Welcomes students interested in Data science and Data Analytics cources with placement opportunity.
First You have to go through the 12 months of complete cource in which you will be getting benefits of Delivery of study materials to your home address, E-books, live 1 to 1 video classes with live doubt solving sessions by best faculty member, recorded lectures, cource completion certificate and 100% guaranteed job placement in top IT companies with salary package of 6LPA to 15LPA.
Only persons who are willing to take cource can apply for it either fresher or experience both are applicable. It's open to all fields like B.com, Bsc, BA, etc and no age Criteria.",-1.0,Rsunstar Educational Academy,Pune,-1,-1,-1,-1,-1,-1,1,6 , 12,9.0,Rsunstar Educational Academy,-1,0,1,0,0
Quant Analytics- Data and Analytics- Python,₹2L - ₹3L (Glassdoor Est.),"Job Overview

This is a unique opportunity for a highly skilled data scientist to have a meaningful impact on a large scale at one of America's leading financial services firms. In this role, you will join the Distribution and Geospatial Data Science team within CB Decision Sciences. This role will help continue driving optimization and growth across Chase's retail network which has grown tremendously over the last several years to serve customers across the contiguous 48 states. We're very proud of the work we do to make banking more accessible to communities and wouldn't have been able to do this without the people developing and executing upon analytic solutions across the firm.

In this role, you'll have the chance to leave your mark as part of a team that's working hard to deliver analytics solutions that will guide Chase's distribution network into its next phase of growth and optimization. From day one, you'll partner with teammates and stakeholders to deliver on high impact analytic initiatives that will support multi-million-dollar decisions. Initially this role will focus on partnering across Consumer and Community Banking to gather business requirements, perform data collection and exploration, provide analytic support for data and spatial science modeling efforts, and guide stakeholders on implementation and execution. You'll have the opportunity to work on analytic solutions from start to finish and will be able to see the impact of your work in near real time.",3.8,"JPMorgan Chase Bank, N.A.
3.8",Bangalore,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),0,2 , 3 ,2.5,"JPMorgan Chase Bank, N.A.
",223,0,1,0,0
Data Scientist,₹5L - ₹14L (Glassdoor Est.),"Job Description:

JOB TITLE:- Data Scientist

WORK LOCATION:- Navi Mumbai

Key Responsibilities:
Should have strong hands-on experience in statistical/Predictive Modeling.
Should have strong hands-on experience in Data Preparation.",3.8,"AxionConnect
3.8",Mumbai,51 to 200 Employees,2011,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,5 , 14 ,9.5,"AxionConnect
",11,0,1,0,0
Data Scientist,Employer Provided Salary:₹10L - ₹16L,"ROLES AND RESPONSIBILITIES * Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. * Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies. * Assess the effectiveness and accuracy of new data sources and data gathering techniques. * Develop custom data models and algorithms to apply to data sets. * Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. SKILLSET REQUIRED * Strong problem-solving skills with an emphasis on product development. * Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets. * Experience working with and creating data architectures. * Knowledge of statistical techniques and concepts is preferred (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. * Excellent written and verbal communication skills for coordinating across teams. * A drive to learn and master new technologies and techniques. CANDIDATE MUST HAVE * R, Python, SQL * Data architectures.",-1.0,Hellowork Technologies Pvt Ltd,Mumbai,Unknown,0,Unknown / Non-Applicable,-1,-1,-1,1,10 , 16,13.0,Hellowork Technologies Pvt Ltd,0,1,1,1,1
Deep Learning Intern,Employer Provided Salary:₹5L,"Selected intern's day-to-day responsibilities include:
1. Working on training & testing deep learning models
2. Fixing bugs linked with the training of models
3. Writing Python scripts
Job Type: Full-time
Salary: From ₹480,000.00 per year
Schedule:
Day shift
Ability to commute/relocate:",-1.0,AI Droid,Secunderābād,-1,-1,-1,-1,-1,-1,1,5,5,5.0,AI Droid,-1,1,1,0,0
Data Science Intern,Employer Provided Salary:₹10T,"Research and develop statistical learning models for data analysis
Collaborate with product management and engineering departments to understand company needs and devise possible solutions
Keep up-to-date with latest technology trends
Communicate results and ideas to key decision makers
Implement new statistical or other mathematical methodologies as needed for specific models or analysis
Optimize joint development efforts through appropriate database use and project design
effective python user
contact : 8149424263
rutuja",-1.0,inorbivict healthcare india pvt ltd,Pune,-1,-1,-1,-1,-1,-1,1,10,10,10.0,inorbivict healthcare india pvt ltd,-1,1,1,0,0
Data Analytics Associate,Employer Provided Salary:₹8L - ₹9L,"Hybrid Mode:

Job Description:

Collaborate closely with Finance associates to drive decisions via data and analytics. Responsible for developing solutions to Finances challenges by identifying the right data assets, tools, analytical models, and teams to deliver.
Transform raw data into impactful business insights, develop and optimize the data extraction, transformation and reporting process
Support work on cross-functional projects using advance modelling & analytics techniques, develop and maintain machine learning models and solutions.",3.5,"Orcapod
3.5",Hyderābād,201 to 500 Employees,2010,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,1,8 , 9,8.5,"Orcapod
",12,0,1,0,0
CCB- Data & Analytics- Data Scientist (Sales Science) - Associate,₹8L - ₹18L (Glassdoor Est.),"This role is a Associate position within the Chase Strategy and Capabilities Analytics function, which will specialize in analyzing the effectiveness of key front-line technology and emerging capabilities for the bankers and financial advisors in the over 5,000 Chase branches. The ideal candidate must be able to operate in a collaborative environment and will require you to engage with a variety of partners to socialize and move forward all Sales initiatives.
Responsibilities include:

Develop the goals and execution of strategic initiatives
Support partnership with key Stakeholders with strong understanding of underlying data
Research, develop and implement new methods of measuring and analyzing data sets and processes",3.8,"JPMorgan Chase Bank, N.A.
3.8",Bangalore,10000+ Employees,1799,Company - Public,Banking & Lending,Finance,$10+ billion (USD),0,8 , 18 ,13.0,"JPMorgan Chase Bank, N.A.
",223,0,1,0,0
Data Scientist,Employer Provided Salary:₹5L - ₹8L,"Hi,We are hiring for one of my client,eligible students can apply.
Job Location : Madhapur,Hyd.
Qualification: Any degree with good communication skills.
Required Skills: Python,Datascience
Job Type: Full-time
Salary: ₹500,000.00 - ₹800,000.00 per year
Schedule:
Day shift",-1.0,Stackapps IT Services Pvt Ltd,Hyderābād,-1,-1,-1,-1,-1,-1,1,5 , 8,6.5,Stackapps IT Services Pvt Ltd,-1,1,1,0,0
Data Science Analyst,Employer Provided Salary:₹25L - ₹28L,"Hiring for Fortune 500 Firm and Client of Searchends
From 3 to 8 year(s) of experience
₹ 25,00,000 - 27,50,000 P.A.
Bangalore/Bengaluru
Job Description

Roles and Responsibilities
As a HR Decision Science Analyst in the Global People Analytics team, you will help to bring analytics and solution delivery to the next level through the utilization of appropriate decision/data science methodologies, excellent stakeholder management, the right problem formulation and providing innovative solutions. You will solve challenging problems across various HR domains. You will work on strategic initiatives by understanding the market landscape and testing best in class analytical solutions.",-1.0,SearchEnds,Bangalore,-1,-1,-1,-1,-1,-1,1,25 , 28,26.5,SearchEnds,-1,0,1,0,1
Data Scientist,₹2L - ₹7L (Glassdoor Est.),"Location : Mumbai
Experience : 1 to 2 Years
Description :
Work on model development, model training, face recognition, image recognition, sound classification, deep learning, and writing algorithms
Work on the data processes, machine learning, and artificial intelligence development using different tools
Candidates must have knowledge of Deep Learning and Computer Vision (OpenCV), and automation algorithms
Must have knowledge of Python",3.8,"Trium Info
3.8",Mumbai,1 to 50 Employees,0,Unknown / Non-Applicable,-1,-1,-1,0,2 , 7 ,4.5,"Trium Info
",0,1,1,0,0
Global Medical Data Scientist,₹21L - ₹37L (Glassdoor Est.),"Site Name: Bengaluru Luxor North Tower
Posted Date: Nov 8 2022

Ready to help shape the future of healthcare?
Uniting science, technology, and talent to get ahead of disease together
GSK is a global biopharma company with a special purpose – to unite science, technology and talent to get ahead of disease together – so we can positively impact the health of billions of people and deliver stronger, more sustainable shareholder returns – as an organisation where people can thrive. Getting ahead means preventing disease as well as treating it, and we aim to impact the health of 2.5 billion people around the world in the next 10 years.
Our success absolutely depends on our people. While getting ahead of disease together is about our ambition for patients and shareholders, it’s also about making GSK a place where people can thrive. We want GSK to be a place where people feel inspired, encouraged and challenged to be the best they can be. A place where they can be themselves – feeling welcome, valued and included. Where they can keep growing and look after their wellbeing. So, if you share our ambition, join us at this exciting moment in our journey to get Ahead Together.",4.0,"GSK
4.0",Bangalore,10000+ Employees,1830,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,21 , 37 ,29.0,"GSK
",192,0,1,0,0
Data Scientist,₹2L - ₹6L (Glassdoor Est.),"JOB DESCRIPTION
Job title: Data Scientist
Department: Student Services
Purpose
We are looking for a Data Scientist to analyse large amounts of raw data to find patterns to improve our existing platform and provide a better student experience. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Responsibilities
Skills and Qualifications
Comfort working in a dynamic, research-oriented group with several ongoing concurrent projects",3.6,"Shri Vile Parle Kelavani Mandal
3.6",Mumbai,1 to 50 Employees,0,Unknown / Non-Applicable,-1,-1,-1,0,2 , 6 ,4.0,"Shri Vile Parle Kelavani Mandal
",0,0,1,0,0
Data Scientist- Director,₹9L - ₹28L (Glassdoor Est.),"Data Scientist- Director
Job Number:
3222340
POSTING DATE: Nov 15, 2022
PRIMARY LOCATION: Non-Japan Asia-India-Maharashtra-Mumbai (MSA)
EDUCATION LEVEL: Bachelor's Degree
JOB: Other
EMPLOYMENT TYPE: Full Time
JOB LEVEL: Director
DESCRIPTION",4.0,"Morgan Stanley
4.0",Mumbai,10000+ Employees,1935,Company - Public,Investment & Asset Management,Finance,$10+ billion (USD),0,9 , 28 ,18.5,"Morgan Stanley
",87,0,1,0,0
Machine Learning Engineer,Employer Provided Salary:₹8T,"This job is for final year students, freshers or candidates with a maximum of 1 year of experience. The ideal candidate will be responsible for creating machine learning models and retraining systems.
To do this job successfully, you need exceptional skills in statistics and programming.
RESPONSIBILITIES
Study and transform data science prototypes
Design machine learning systems
Research and implement appropriate ML algorithms and tools
Develop machine learning applications according to requirements",-1.0,XIRCLS,Mumbai,-1,-1,-1,-1,-1,-1,1,8,8,8.0,XIRCLS,-1,0,1,0,0
Data Scientist/Machine Learning,Employer Provided Salary:₹10L - ₹50L,"Data Scientist
Permanant WFH
Strong fundamentals in statistics, mathematics, and ML algorithms (neural networks, tree-based methods, optimizers, super/unsupervised learning, feature engineering)
Comfortable programming (but perhaps stronger stats/math/ML-applications), very comfortable debugging model & data pipelines.
- Strong attention to details - Drives projects forward. Clearly communicates blockers, next steps.
Very comfortable with Python, standard ML/AI frameworks & packages (TensorFlow, XGBoost, Scikit-learn, Pandas, Numpy)",4.6,"Alpha Net Consulting
4.6",India,201 to 500 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD),1,10 , 50,30.0,"Alpha Net Consulting
",21,1,1,0,0
Data Scientist (Analyst),₹2L - ₹10L (Glassdoor Est.),"Data Scientist (Analyst)
Location: Gurugram/Mumbai

Job Type: Full time
Experience: 0-2 years
Why would you like to join us?
TransOrg Analytics, an award winning - Big Data and Predictive analytics- company, offers advanced analytics solutions to industry leaders and Fortune 500 companies across India, US, UK, Singapore and the Middle East. Our products - Clonizo' (customer cloning) have yielded significant incremental benefits to our clients. We have been recognized by the CIO Review magazine as the - Predictive Analytics Company of the Year- and by TiE for excellence in entrepreneurship.",2.8,"Transorg Analytics
2.8",Mumbai,51 to 200 Employees,0,Business Consulting,Management & Consulting,Unknown / Non-Applicable,-1,0,2 , 10 ,6.0,"Transorg Analytics
",0,0,1,0,1
Looking for Data Scientist for Evalueserve,Employer Provided Salary:₹16L,"About Evalueserve
Evalueserve was founded in 2000 and is a global professional services provider offering research, analytics, and data management services. We’re powered by mind+machineTM, a unique combination of human expertise and best-in-class technologies that use smart algorithms to simplify key tasks. We work with clients across a wide range of industries and business ions, helping them to make better decisions faster and reach new levels of efficiency and effectiveness.
Why choose us:
We have our headquarters in Switzerland and have a global presence in over 17 locations including in the",4.0,"Evalueserve
4.0",Bangalore,1001 to 5000 Employees,2000,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,1,16,16,16.0,"Evalueserve
",22,0,1,0,0
Data Scientist,Employer Provided Salary:₹12T,"Responsibilities and Duties
Will be responsible to model high frequency data (microseconds/seconds level) for trading in markets.
Will be responsible for conducting the entire research cycle on very large sets of historical market data for optimization and new strategy development.
Will also be responsible for designing, debugging, improving and finally creating production ready nets.
Required Skill Set:
Experience of working with deep learning models. Proficiency in any of data science language (e.g. Python, R).",-1.0,Renew Instruments,Mumbai,-1,-1,-1,-1,-1,-1,1,12,12,12.0,Renew Instruments,-1,1,1,0,0
Freelance Data Scientist Trainer,Employer Provided Salary:₹5L - ₹7L,"Interest in teaching with ability to explain complex things in simple language
- Minimum 2-3 years experience in data science
- Extensive experience in applied work with Excel/Google Sheets, Python, Tableau, SQL,
Statistics
- You understand why analysts need statistics and where it is used (in the course we go through topics such as: a / b testing and linear regression)
- Ability to be online during the day
- Flexibility and willingness to accept feedback
- Great written communication skills
- Advanced English proficiency
- Part Time/Full Time/Contract
Responsibilities:
- Answer students' (Who are working professionals) academic questions in written format on
Slack (based on the course materials or general questions about a data analyst's work) up to during a day
- Help with completing assignments or understanding a topic
- Conduct 1-1 sessions and webinars with the students
- Review and assess homework/projects
- React to the feedback from students and make recommendations for improving the course based on feedback from students
- QA of the course content
-- Always open to feedback
-- Should be empathetic and patient towards students",-1.0,Success Arrow,Pune,-1,-1,-1,-1,-1,-1,1,5 , 7,6.0,Success Arrow,-1,1,1,1,1
Jr. / Sr. Data Scientist,Employer Provided Salary:₹15L - ₹25L,"Desired Candidate Profile
A Master s or higher degree in Computer Science, Statistics, Mathematics, or related disciplines
4-8 years experience with ETL ,data processing , data programming and data analytics
Experience with Big Data processing (Spark/Bigquery / Hive/ Hadoop/ HDFS)
Experience of R, SQL and Python
Experience of working with tools over AWS / Azure on big data analysis.
Experience in data mining and statistical analysis
Proficiency in machine learning algorithms such as decision trees, support vector machines,  Gradient Boosting Machines (GBM), Random Forest, Regularized regression models, time series forecasting, anomaly detection etc.  Strong understanding of probability and statistical models (generative and descriptive models)  Experience in pattern recognition and predictive modelling  Understanding of machine-learning and operations research  Ability to run experiments scientifically and analyze results.  Understanding of machine-learning and operations research.  Ability to effectively communicate technical concepts and results to business audiences in a comprehensive manner.  Experience with Performance Engineering including testing, tuning, and monitoring tools will be add on",-1.0,CMS,Mumbai,-1,-1,-1,-1,-1,-1,1,15 , 25,20.0,CMS,-1,1,1,1,0
DATA SCIENCE,Employer Provided Salary:₹10T - ₹30T,"Educational Qualification
Any Graduate
Job Designation
Data Science Trainer
Job Responsibilities
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Scraping and analyze data from company databases to drive optimization and improvement of product development.",-1.0,Infowiz Software Solution,India,-1,-1,-1,-1,-1,-1,1,10 , 30,20.0,Infowiz Software Solution,-1,0,1,0,0
Data Scientist,Employer Provided Salary:₹15L - ₹20L,"1. Responsible for designs and development of enterprise-wide Data Science/Data Analytics applications using Python and SQL.
2. Responsible for participating in all stages of the development life cycle including requirements analysis, design, development, testing, and implementation.
3. Coordinates with US software architects for overall design and standards
4. Coordinates with US business stakeholders to ensure requirements are being met
5. Should be adaptable to US time zone whenever required to have meetings with onshore counterparts.
6. Deep experience working on Agile teams and extensive familiarity with all Agile ceremonies.",4.3,"MNR Solutions
4.3",Noida,51 to 200 Employees,2007,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable,1,15 , 20,17.5,"MNR Solutions
",15,1,1,1,0
Data Scientist,₹18L - ₹32L (Glassdoor Est.),"Looking for a hands-on and passionate Data-Scientist to design & build large-scale Predictive and Prescriptive solution(s) that are expected to provide meaningful pro-active business insights in Construction Tech Analytics software, thereby helping save $$$ to Oracle customers !
Key Competencies: Hands-on model building for Data Science, NLP & Computer Vision problems. The ideal candidate understands human behavior and knows what to look for in the data, and can work closely with the engineering and product management teams to solve complex problems with unique data, analysis, algorithms, and insights, and is expected to build and lead a team around these competencies. We are looking for the following Key skills and Educational Qualifications & Industry experience levels:
Role:





Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will take an active role in the definition and evolution of standard practices and procedures. You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications or operating systems.

Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. BS or MS degree or equivalent experience relevant to functional area. 7 years of software engineering or related experience.",3.9,"Oracle
3.9",Bangalore,10000+ Employees,1977,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),0,18 , 32 ,25.0,"Oracle
",45,0,1,0,0
Data Scientist,Employer Provided Salary:₹15T - ₹30T,"Edureka Learning Center, Satellite, Ahmedabad
Looking for python, tensorflow, Keras, tableau Training Course Faculty
4 months batch / 2 Hours Daily
Hourly Pay / Monthly Pay / Per batch Pay
Learning Course Material is online
Faculty required for Query /Doubt solution / Fundamentals Clarity
Part time / Hourly / Full Time all options available
Job Types: Full-time, Part-time",-1.0,Edureka Learning Center -Ahmedabad,Ahmedabad,-1,-1,-1,-1,-1,-1,1,15 , 30,22.5,Edureka Learning Center -Ahmedabad,-1,1,1,0,0
Machine Learning - CONSULTANT,₹34L - ₹52L (Glassdoor Est.),"Publish Date:
Nov 11, 2022

Location:
Pune, Maharashtra, IN, 411045

Company:
Atos

About Atos

Atos is a global leader in digital transformation with 107,000 employees and annual revenue of over € 11 billion. European number one in cybersecurity, cloud and high performance computing, the Group provides tailored end-to-end solutions for all industries in 71 countries. A pioneer in decarbonization services and products, Atos is committed to a secure and decarbonized digital for its clients. Atos is a SE (Societas Europaea), listed on Euronext Paris and included in the CAC 40 ESG and Next 20 Paris Stock indexes.

The purpose of Atos is to help design the future of the information space. Its expertise and services support the development of knowledge, education, and research in a multicultural approach and contribute to the development of scientific and technological excellence. Across the world, the Group enables its customers and employees, and members of societies at large to live, work and develop sustainably, in a safe and secure information space.

Description - Machine Learning Engineer who has worked on building and deploying machine learning solutions at scale and the person should have hands-on experience in writing effective and scalable python code.

Role & Responsibilities –

Responsible for designing , implementation, optimization of end to end AI/ML usecases

Responsible for industrialization of the ML Models with all the best practices.

Develop and deploy architectures through product engineering and existing model deployment tools.

Establish and implement engineering excellence guidelines for the team.

Hands-on development on Machine Learning code and collaborate with Data Scientists to optimize ML models for high throughput and low-latency use cases

Work in microservices architecture implementation.

Work with our AI platform and feature teams to help them successfully integrate the python codes and ML models

Build tools and automation to improve systems availability, reliability, performance, monitoring and scalability.

Integrate ML model training, inferencing into Data pipelines.


Excellent hands on coding skills on Python and basics of Pyspark.

Experience in Azure data lake, Blob storage, SQL or any database etc.

Knowledge about Azure Kubernetes Services would be added advantage

Good to have knowledge in creating the RESTful services in python using Flask/Django or any similar framework

Knowledge source code management tools (git)

Always ready to learn more and adopt new cutting edge technology with right value proposition.

Desired Candidate Profile

Work Experience - 5 to 8 Years

Work Location - Pune

Must Have - Machine Learning & Python

Engineering or similar quantitative field

Here at Atos, we want all of our employees to feel valued, appreciated, and free to be who they are at work. Our employee lifecycle processes are designed to prevent discrimination against our people regardless of gender identity or expression, sexual orientation, religion, ethnicity, age, neurodiversity, disability status, citizenship, or any other aspect which makes them unique. Across the globe, we have created a variety of programs to embed our Atos culture of inclusivity, and work hard to ensure that all of our employees have an equal opportunity to contribute and feel that they are exactly where they belong.",3.7,"Atos
3.7",Pune,10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,34 , 52 ,43.0,"Atos
",25,1,1,1,1
Data Scientist,₹3L - ₹11L (Glassdoor Est.),"Location: Asia Pacific, India, Bangalore
Ref: DETECTIONAPAC00945
Division: Smiths Detection
Job Function: Research Development
About Us
SMITHS DETECTION MAKING THE WORLD A SAFER PLACE
Every minute of every day, in nearly every country across the globe, Smiths Detection people and technology make the world a safer place. We safeguard people, business and infrastructure with the latest innovations and screening technology for aviation, ports, borders, defense, and security.",3.5,"Smiths Group
3.5",Bangalore,51 to 200 Employees,2000,Company - Private,Restaurants & Cafes,Restaurants & Food Service,Unknown / Non-Applicable,0,3 , 11 ,7.0,"Smiths Group
",22,0,1,0,0
Data Scientist,₹7L - ₹15L (Glassdoor Est.),"Introduction
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development. Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.

Your Role and Responsibilities
As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and collaborating on product development.
Work with Best in Class open source and visual tools, along with the most flexible and scalable deployment options. Whether it’s investigating patient trends or weather patterns, you will work to solve real world problems for the industries transforming how we live.",4.1,"IBM
4.1",Bangalore,10000+ Employees,1911,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,7 , 15 ,11.0,"IBM
",111,0,1,0,0
Forecasting Analyst/ Data Scientist,₹3L - ₹19L (Glassdoor Est.),"Job description
Roles and Responsibilities
The person will be the Point of Contact for forecasting and budget planning
Updates the forecast with monthly / weekly actual data and suggested improvements based on trend analysis
Refines forecasting scenarios and generates final forecast
Refines and capture data to be used as an input to the models
Designs and develops forecasting scenarios
Generate short term forecasts, incorporating business impacts",3.8,"Locus IT Services
3.8",Bangalore,51 to 200 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,3 , 19 ,11.0,"Locus IT Services
",15,0,1,0,0
Data Science Trainer,Employer Provided Salary:₹12L,"Experience
Minimum 4+ Years of experience in machine learning & data analytics.
Expert knowledge in Python, Statistics, Machine Learning, Artificial Neural Networks, Convolutional Neural Networks, Recurrent Neural Networks, and NLP.
Very good knowledge of Django/Flask, SQL, and TABLEAU is preferable.
Deployment on AWS/GCP/Azure is preferable.
Real-Time experience of working on Data Science (ML, DL & NLP) Projects is mandatory.
Methodical and Aggressive learner.
Roles & Responsibilities:",-1.0,Innomatics Research Labs,Hyderābād,-1,-1,-1,-1,-1,-1,1,12,12,12.0,Innomatics Research Labs,-1,1,1,1,0
Deputy Manager_Assistant Lead_Data Science_GBIS-PUNe,₹6L - ₹8L (Glassdoor Est.),"Description
The Big Data Analyst assists in proving actionable insights through analyses of large structured and unstructured datasets from unrelated sources. They ensure the delivery of future predictions based on previous data patterns to provide solutions to business problems and requirements.The Big Data Analyst assists business decisions using data science and statistical analysis through the wide ranges of data available to them, ensuring scalability in order to deliver the Big Data strategy and achieve business objectives.Typically reports to the Big Data Analytics Manager.
Demonstrates deep understanding of modelling techniques, algorithms and being able to tune, modify and implement changes to address different business questions;
Provides deep technical analytical and data expertise to the business and other Data Scientists, using a wide variety of available data, to solve complex business problems;",4.0,"Vodafone
4.0",Pune,10000+ Employees,1982,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (USD),0,6 , 8 ,7.0,"Vodafone
",40,0,1,0,0
Data Science,₹4L - ₹14L (Glassdoor Est.),"Responsibilities
• Anchor ML development track in a client project • Data collection, profiling, EDA & data preparation • AI Model development, experimentation, tuning & validation • Present findings to business users & project management teams • Propose ML based solution approaches & estimates for new use cases • Contribute to AI based modules in Infosys solutions development • Explore new advances in AI continuously and execute PoCs • Mentoring – guide junior team members & evangelize AI in organization
Additional Responsibilities:
• Good verbal & written communication skills – articulate value of AI to business, project managers & other team members • Ability to break complex problem into smaller problems and create hypothesis • Innovation and experimentation
Technical and Professional Requirements:
• Programming: Python, R, SQL • ML algorithms: o Statistical ML algorithms o Deep Neural Network architectures o Model ensembling o Generative AI models o ML for Responsible AI • AI domains - NLP, speech, computer vision, structured data • Learning patterns – supervised, unsupervised, reinforcement learning • Tools for data analysis, auto ML, model deployment & scaling • Knowledge of datasets, pre-built models available in open community and 3rd party providers • Knowledge of software development & architectures • Knowledge of hyperscalers & their AI capabilities – Azure, AWS, GCP
Preferred Skills:
Python,Artificial Intelligence->Python ML,Machine Learning->Data Science,Artificial Intelligence->NLP Deep Learning Algorithms,Bigdata->Pyspark
Educational Requirements
Bachelor of Engineering",3.9,"Infosys Limited
3.9",Bangalore,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD),0,4 , 14 ,9.0,"Infosys Limited
",41,1,1,1,0
NLP Research Intern,Employer Provided Salary:₹15T - ₹20T,"As a member of the NLP Research group, you will work on challenging research problems that have a concrete impact on exciting real-world applications.
Looking for candidates with
- strong mathematical background in natural language processing
- knowledge of python, pandas, BERT, LSTM
- build and train neural networks
- able to work independently
Job Types: Full-time, Regular / Permanent",-1.0,Santa Fe Research Pvt Ltd,Chennai,-1,-1,-1,-1,-1,-1,1,15 , 20,17.5,Santa Fe Research Pvt Ltd,-1,1,1,0,0
